tag_name,doc_name,pnum,query_granularity,corpus_granularity,n_tagged,n_shared_best,noise_best,l2_distance,n_grid_points
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,sentence,5,3,0.2,3.3938037751011683,8
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,chunk,38,3,0.1,3.3531019159226165,14
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,paragraph,5,3,0.1,2.177682948951701,12
CI Definition Includes Third Party Info,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,sentence,5,1,0.1,0.9788977774180889,7
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,chunk,23,10,0.2,2.0865234753006283,14
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,paragraph,4,2,0.2,4.34508258318508,12
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,sentence,4,1,0.2,4.3196232112786985,10
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,chunk,23,7,0.1,2.9944364334942297,15
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,paragraph,4,2,0.2,1.4217864326293308,10
CI Definition Industry Specific Terms,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,sentence,4,2,0.2,1.284684048758877,8
CI Definition Industry Specific Terms,Project Waypoint - Ontario - NDA - OTPP  3.11.26 (execution) .pdf,5,paragraph,chunk,26,10,0.2,3.245119935310968,10
CI Definition Industry Specific Terms,Project Waypoint - Ontario - NDA - OTPP  3.11.26 (execution) .pdf,5,paragraph,paragraph,4,2,0.2,1.3202280250186256,10
CI Definition Industry Specific Terms,Project Waypoint - Ontario - NDA - OTPP  3.11.26 (execution) .pdf,5,paragraph,sentence,4,2,0.2,1.0223719824447959,8
CI Definition Industry Specific Terms,Project Waypoint - Ontario - NDA - OTPP  3.11.26 (execution) .pdf,5,sentence,chunk,26,10,0.2,2.7077458872141733,9
CI Definition Industry Specific Terms,Project Waypoint - Ontario - NDA - OTPP  3.11.26 (execution) .pdf,5,sentence,paragraph,4,2,0.2,1.2434708363338798,8
CI Definition Industry Specific Terms,Project Waypoint - Ontario - NDA - OTPP  3.11.26 (execution) .pdf,5,sentence,sentence,4,2,0.2,0.9257544626678904,6
CI Definition Industry Specific Terms,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,chunk,15,10,0.2,2.4132682901977955,12
CI Definition Industry Specific Terms,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,paragraph,3,2,0.2,0.8307778196323383,5
CI Definition Industry Specific Terms,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,sentence,3,1,0.2,3.7312321153724577,9
CI Definition Industry Specific Terms,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,chunk,15,7,0.1,2.2603598614246265,9
CI Definition Industry Specific Terms,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,paragraph,3,10,0.2,2.114382691604804,14
CI Definition Industry Specific Terms,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,sentence,3,2,0.2,1.211097130802827,6
CI Definition Marking Required,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,chunk,59,10,0.2,0.9563535621160487,4
CI Definition Marking Required,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,paragraph,8,1,0.2,1.463522433035334,5
CI Definition Marking Required,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,sentence,8,1,0.2,1.085511894074685,5
CI Definition Marking Required,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,chunk,59,8,0.2,1.797309435147979,7
CI Definition Marking Required,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,sentence,8,10,0.2,0.8389970187524785,4
CI Definition Marking Required,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,chunk,75,10,0.2,2.392027186316489,14
CI Definition Marking Required,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,paragraph,8,2,0.2,4.7580148329015985,11
CI Definition Marking Required,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,sentence,8,1,0.2,4.30842777409802,9
CI Definition Marking Required,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,chunk,75,3,0.1,3.421565544919795,13
CI Definition Marking Required,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,paragraph,8,2,0.2,1.3506083590247526,6
CI Definition Marking Required,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,sentence,8,2,0.2,1.2355600573645797,6
CI Definition Marking Required,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,chunk,72,10,0.2,1.395310227815234,5
CI Definition Marking Required,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,paragraph,8,1,0.2,1.661169399177425,5
CI Definition Marking Required,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,sentence,8,2,0.2,1.8587434914273633,5
CI Definition Marking Required,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,chunk,72,3,0.1,3.1504143617648124,15
CI Definition Marking Required,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,paragraph,8,10,0.2,1.8177291070529424,10
CI Definition Marking Required,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,sentence,8,10,0.2,0.8881507968159206,4
CI Definition Marking Required,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,chunk,64,10,0.2,1.9278815765660386,11
CI Definition Marking Required,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,paragraph,7,2,0.2,0.7544080043271604,4
CI Definition Marking Required,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,sentence,7,3,0.2,3.483052571092878,8
CI Definition Marking Required,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,chunk,64,3,0.1,3.817294023669318,12
